compound;platform;prob;UniProt_name
(+) Linderatin;SwissTargetPrediction;0.165835531;CATL1_HUMAN
(+) Linderatin;SwissTargetPrediction;0.104440651;LOX5_HUMAN
(+) Linderatin;SwissTargetPrediction;0.104440651;PTGES_HUMAN
(+) Linderatin;SEA;5.22E-21;PA2GA_RABIT
(+) Linderatin;SEA;7.15E-18;MDR1_HUMAN
(+) Linderatin;SEA;2.43E-11;B2LA1_HUMAN
(+) Linderatin;SEA;2.27E-10;P2RX1_MOUSE
(+) Linderatin;SEA;1.53E-09;HPPD_ARATH
(+) Linderatin;SEA;4.18E-09;PA2GA_RAT
(+) Linderatin;SEA;5.59E-09;TRPA1_RAT
(+) Linderatin;SEA;7.18E-09;LDHB_HUMAN
(+) Linderatin;SEA;3.56E-08;COMT_RAT
(+) Linderatin;SEA;5.21E-08;Q53I59_TRYCR
(+) Linderatin;SEA;7.34E-07;PA2G5_MOUSE
(+) Linderatin;SEA;9.71E-07;KCNK2_HUMAN
(+) Linderatin;SEA;1.11E-06;GPR18_HUMAN
(+) Linderatin;SEA;2.55E-06;PA2GA_MOUSE
(+) Linderatin;SEA;4.88E-06;FOLH1_RAT
(+) Linderatin;SEA;9.78E-06;DPOLB_RAT
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CATB_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PGH2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;NU4M_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MMP13_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CP19A_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;VGFR2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FUT5_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;SIA4A_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;LOX5_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KIT_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;SRC_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FGFR1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MET_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FNTA_HUMAN|FNTB_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PGTB1_HUMAN|FNTA_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;QRFPR_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ATS5_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PDE10_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KCNA3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PGTB1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CDK2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CP2CJ_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MMP2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;RXRA_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MYLK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;NTRK1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KPCG_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CASP3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;P2RX3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CASP8_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CASP1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;RET_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ACK1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CALRL_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;RENI_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ITK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CFTR_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;SAE1_HUMAN|SAE2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;LT4R1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;LRRK2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;GRK7_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;HIPK4_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PRP4_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;P3C2G_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;M3K13_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ICK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MAST1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;HUNK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FYN_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CSF1R_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ABL1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PRP4B_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;DUSTY_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PGFRB_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;VGFR3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FLT3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PGFRA_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;YES_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MP2K3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CAN1_HUMAN|CPNS1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;AAPK2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PIM1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;JAK3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MP2K6_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;AURKB_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;BLK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MK08_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KS6A3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PHKG2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;AKT2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;DAPK3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KCC1A_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;PDPK1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KS6A1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;DAPK1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;LCK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KPCD3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KSYK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;GSK3B_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;CSK_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MK10_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;M3K11_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;FGFR3_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KCC2D_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ZAP70_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;JAK1_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;GSK3A_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;M3K9_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;M3K10_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KGP2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;MP2K4_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;KAPCB_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;JAK2_HUMAN
(-) epi-Adunctin E;SwissTargetPrediction;0.106542926;ROCK2_HUMAN
