;Compound;UniProt_name;SEA;SuperPred;SwissTargetPrediction;in-house models
0;(+) Linderatin;ACES_HUMAN;;;;0.273489
1;(+) Linderatin;B2LA1_HUMAN;2.43e-11;;;
2;(+) Linderatin;CATL1_HUMAN;;;0.165835531;
3;(+) Linderatin;COMT_RAT;3.56e-08;;;
4;(+) Linderatin;CP19A_HUMAN;;;;0.5150819999999999
5;(+) Linderatin;CP2D6_HUMAN;;;;0.44619
6;(+) Linderatin;DHI2_HUMAN;;;;0.7222
7;(+) Linderatin;DPOLB_RAT;9.78e-06;;;
8;(+) Linderatin;FOLH1_RAT;4.88e-06;;;
9;(+) Linderatin;GCR_HUMAN;;;;0.0878053
10;(+) Linderatin;GPR18_HUMAN;1.11e-06;;;
11;(+) Linderatin;HPPD_ARATH;1.5299999999999999e-09;;;
12;(+) Linderatin;KCNK2_HUMAN;9.709999999999999e-07;;;
13;(+) Linderatin;LDHB_HUMAN;7.18e-09;;;
14;(+) Linderatin;LOX5_HUMAN;;;0.104440651;
15;(+) Linderatin;MDR1_HUMAN;7.15e-18;;;
16;(+) Linderatin;NR1H2_HUMAN;;;;0.24308000000000002
17;(+) Linderatin;P2RX1_MOUSE;2.2700000000000002e-10;;;
18;(+) Linderatin;PA2G5_MOUSE;7.340000000000001e-07;;;
19;(+) Linderatin;PA2GA_MOUSE;2.55e-06;;;
20;(+) Linderatin;PA2GA_RABIT;5.22e-21;;;
21;(+) Linderatin;PA2GA_RAT;4.18e-09;;;
22;(+) Linderatin;PGH1_HUMAN;;;;0.500672
23;(+) Linderatin;PTGES_HUMAN;;;0.104440651;
24;(+) Linderatin;Q53I59_TRYCR;5.2099999999999997e-08;;;
25;(+) Linderatin;TRPA1_RAT;5.589999999999999e-09;;;
26;(-) Linderatin;B2LA1_HUMAN;2.43e-11;;;
27;(-) Linderatin;CATL1_HUMAN;;;0.18340458399999998;
28;(-) Linderatin;COMT_RAT;3.56e-08;;;
