Structure;Index;Name;Visible;Tagged;Visibility Locked;Color;Calculate Charges;Number of Atoms;Molecular Formula;Molecular Composition;Molecular Weight;Exact Mol. Weight;Net Formal Charge;SourceTag;Compound;# Confs.;Matching Features;Score;Best Match;Pharmacophore-Fit Score;Source Database;Active/Decoy;mol index;Pharmacophore fit Score;Mol. Index
;1;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;true;false;false;255 255 255 255;false;66;C27 H34 O5;C: 0,739, H: 0,078, O: 0,182;438.569;438.241;0;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;113900-91-7;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;36.3516;Model-1-2-1;36.35;DHC_full.ldb;unknown;;;
;2;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;113866-89-0;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;36.3516;Model-1-2-1;36.35;DHC_full.ldb;unknown;;;
;3;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;123134-05-4;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;36.3516;Model-1-2-1;36.35;DHC_full.ldb;unknown;;;
;4;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1379647-91-2;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;35.7898;Model-1-2-1;35.79;DHC_full.ldb;unknown;;;
;5;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1379647-92-3;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;35.0908;Model-1-2-1;35.09;DHC_full.ldb;unknown;;;
;6;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1801581-11-2;500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;38.0085;Model-1-2-1;38.01;DHC_full.ldb;unknown;;;
;7;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1801581-15-6 (S);500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;34.8154;Model-1-2-1;34.82;DHC_full.ldb;unknown;;;
;8;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1801581-14-5 (S);500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;35.0084;Model-1-2-1;35.01;DHC_full.ldb;unknown;;;
;9;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1801581-15-6 (R);500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;36.9222;Model-1-2-1;36.92;DHC_full.ldb;unknown;;;
;10;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-317364-65-1-and-317364-71-9-model-4;1801581-16-7 (RR);500;H:13104679550553991|H:13104679677197392|HBA:13104679678023673;36.0781;Model-1-2-1;36.08;DHC_full.ldb;unknown;;;
