;Compound;UniProt_name;rel_score;platform
0;(+) Linderatin;ACES_HUMAN;0.273489;in-house models
1;(+) Linderatin;CP19A_HUMAN;0.5150819999999999;in-house models
2;(+) Linderatin;CP2D6_HUMAN;0.44619;in-house models
3;(+) Linderatin;DHI2_HUMAN;0.7222;in-house models
4;(+) Linderatin;GCR_HUMAN;0.0878053;in-house models
5;(+) Linderatin;NR1H2_HUMAN;0.24308000000000002;in-house models
6;(+) Linderatin;PGH1_HUMAN;0.500672;in-house models
7;(-) Linderatin;CP19A_HUMAN;0.535137;in-house models
8;(-) Linderatin;CP2D6_HUMAN;0.34628585;in-house models
9;(-) Linderatin;DHI2_HUMAN;0.7394;in-house models
10;(-) Linderatin;GCR_HUMAN;0.010505;in-house models
11;(-) Linderatin;NR1H2_HUMAN;0.0787785;in-house models
12;(-) Linderatin;NR1H4_HUMAN;0.0312236;in-house models
13;(-) Linderatin;PGH1_HUMAN;0.40376;in-house models
14;(-) Linderatin;PPARG_HUMAN;0.000104059;in-house models
15;(-) Linderatin;PTGES_HUMAN;0.00130492;in-house models
16;(-) Methyllinderatin;CP19A_HUMAN;0.323454;in-house models
17;(-) Methyllinderatin;CP2D6_HUMAN;0.5216985;in-house models
18;(-) Methyllinderatin;DHI2_HUMAN;0.7394;in-house models
19;(-) Methyllinderatin;GCR_HUMAN;0.11259304978;in-house models
20;(-) Methyllinderatin;MCR_HUMAN;0.225183;in-house models
21;(-) Methyllinderatin;NR1H2_HUMAN;0.10892691915000001;in-house models
22;(-) Methyllinderatin;PGH1_HUMAN;0.862978;in-house models
23;(-) Methyllinderatin;PPARG_HUMAN;0.006630500000000001;in-house models
24;(-) Neolinderatin;CP19A_HUMAN;0.4829;in-house models
25;(-) Neolinderatin;CP2D6_HUMAN;0.6115970000000001;in-house models
26;(-) Neolinderatin;NR1H4_HUMAN;0.17371533333333336;in-house models
27;(-) Neolinderatin;PGH1_HUMAN;0.735965;in-house models
28;(-) Neolinderatin;PPARG_HUMAN;0.0038237001720894995;in-house models
29;(-) epi-Adunctin E;CP19A_HUMAN;0.537568;in-house models
30;(-) epi-Adunctin E;CP2D6_HUMAN;0.45041319999999996;in-house models
31;(-) epi-Adunctin E;DHI2_HUMAN;0.7458;in-house models
32;(-) epi-Adunctin E;GCR_HUMAN;0.056905535;in-house models
33;(-) epi-Adunctin E;MCR_HUMAN;0.11242100000000001;in-house models
34;(-) epi-Adunctin E;NR1H4_HUMAN;0.386908;in-house models
35;(-) epi-Adunctin E;PGH1_HUMAN;0.7743909999999999;in-house models
36;(-) epi-Adunctin E;PPARA_HUMAN;0.120994;in-house models
37;(±) Adunctin B;DHB3_HUMAN;0.9175000000000001;in-house models
38;(±) Adunctin B;DHI2_HUMAN;0.9214;in-house models
39;(±) Adunctin B;HYES_HUMAN;0.9486;in-house models
40;1000268-43-8;ACES_HUMAN;0.346913;in-house models
41;1000268-43-8;AK1C3_HUMAN;0.35634499999999997;in-house models
42;1000268-43-8;CP19A_HUMAN;0.7235090000000001;in-house models
43;1000268-43-8;CP2D6_HUMAN;0.6423705000000001;in-house models
44;1000268-43-8;DHB2_HUMAN;0.9704444444444444;in-house models
45;1000268-43-8;DHB3_HUMAN;0.9063749999999999;in-house models
46;1000268-43-8;DHB4_HUMAN;0.30981450099999996;in-house models
47;1000268-43-8;DHB7_HUMAN;0.9155;in-house models
48;1000268-43-8;DHI2_HUMAN;0.916;in-house models
49;1000268-43-8;ESR1_HUMAN;0.966920634920635;in-house models
50;1000268-43-8;GCR_HUMAN;0.0271682;in-house models
51;1000268-43-8;LOX5_HUMAN;0.767891;in-house models
52;1000268-43-8;MCR_HUMAN;0.06366125;in-house models
53;1000268-43-8;MK14_HUMAN;0.00140065;in-house models
54;1000268-43-8;NR1H2_HUMAN;0.401814;in-house models
55;1000268-43-8;NR1H4_HUMAN;0.193875;in-house models
56;1000268-43-8;PGH1_HUMAN;0.549327;in-house models
57;100634-10-4;ACES_HUMAN;0.180911238555;in-house models
58;100634-10-4;CP19A_HUMAN;0.500636;in-house models
59;100634-10-4;CP2D6_HUMAN;0.354033;in-house models
60;100634-10-4;DHB2_HUMAN;0.971;in-house models
61;100634-10-4;DHB3_HUMAN;0.9145000000000001;in-house models
62;100634-10-4;DHB4_HUMAN;0.39556087500000003;in-house models
63;100634-10-4;DHB7_HUMAN;0.9125;in-house models
64;100634-10-4;DHI2_HUMAN;0.8343750000000001;in-house models
65;100634-10-4;ESR1_HUMAN;0.9657904761904762;in-house models
66;100634-10-4;LOX5_HUMAN;0.9278945333333333;in-house models
67;100634-10-4;MCR_HUMAN;0.08826855;in-house models
68;100634-10-4;PTN1_HUMAN;0.937;in-house models
69;104937-47-5 (R);ACES_HUMAN;0.15451700000000002;in-house models
70;104937-47-5 (R);CP19A_HUMAN;0.5724100000000001;in-house models
71;104937-47-5 (R);CP2D6_HUMAN;0.45733999999999997;in-house models
72;104937-47-5 (R);DHB3_HUMAN;0.92825;in-house models
73;104937-47-5 (R);HYES_HUMAN;0.9216;in-house models
74;104937-47-5 (R);PGH1_HUMAN;0.44622;in-house models
75;104937-47-5 (R);PPARG_HUMAN;0.0412047;in-house models
76;1051926-06-7;CP19A_HUMAN;0.686695;in-house models
77;1051926-06-7;CP2D6_HUMAN;0.497832;in-house models
78;1051926-06-7;DHB4_HUMAN;0.0449605;in-house models
79;1051926-06-7;DHI2_HUMAN;0.45916219999999996;in-house models
80;1051926-06-7;LOX5_HUMAN;0.0297788;in-house models
81;1051926-06-7;MCR_HUMAN;0.00945234;in-house models
82;1051926-06-7;Q6INT1_XENLA;0.217939;in-house models
83;1088-08-0;CP19A_HUMAN;0.33765300000000004;in-house models
84;113866-89-0;CP19A_HUMAN;0.8543370000000001;in-house models
85;113866-89-0;CP2D6_HUMAN;0.6478119999999999;in-house models
86;113866-89-0;DHB3_HUMAN;0.918138888888889;in-house models
87;113866-89-0;DHB4_HUMAN;0.16850910125000002;in-house models
