Structure,Index,Name,Visible,Tagged,Visibility Locked,Color,Calculate Charges,Number of Atoms,Molecular Formula,Molecular Composition,Molecular Weight,Exact Mol. Weight,Net Formal Charge,AbsoluteEnergy,ConfNumber,RelativeEnergy,11b-HSD-1-refinedX005-1-HBA-model4new,11b-HSD-triterpenes-common-features,11b-HSD1-X005-1-HBA-ohneShape-model4,11b-HSD1-X005-1-model1,11b-HSD2-refinedX005-2-model2new,17b-HSD3-DS-model-1-X007-1,17b-HSD3-DS-model-2-X007-31,17b-HSD4-quercetin-Wetzel-final,17b-HSD4-Quercetin-Wetzel-HBA-F-model3-2,17b-HSD4-Quercetin-Wetzel-HBA-F-model8-1,17b-HSD5-1ry8-rut-1.60-x-1,17b-HSD5-1s2c-flf-1.80-x-1-s,17b-HSD5-1s2c-flf-1.80-x-1,17b-HSD5-1s2c-flf-1.80-x-2-s,17b-HSD5-1zq5-e04-1.30-x-2-s,17b-HSD5-2f38-15m-2.00-x-1-s,17b-HSD5-X009-2,17b-HSD7-Fiala-DS-shapemodell_30,17b-HSD7-Fiala-DS-shapemodell_42,17b-HSD7-Fiala-DS-shapemodell_49,5-LO-N004-1,5-LO-N004-2,5-LO-W001-5,AChE-1acj-tha-HBA-vers,AChE-GNT-Hypo1-shape,AChE-X015-1,aromatase-X006-1,aromatase-X006-2,aromatase-X006-3,COX-1-X017-1,CYP2D6-quant-X012-1,CYP2D6-X012-3,CYP2D6-X012-42,FXR-1osh-fex-1.78-d-1,FXR-1osh-fex-1.78-d-2,FXR-3bej-muf-1.90-x-2-s,FXR-3bej-muf-1.90-x-2,FXR-3fli-33y-2.00-x-1-s,FXR-3fli-33y-2.00-x-1,FXR-X008-1,GR-1nhz-486-2.30-T-2,GR-1nhz-486-2.30-T-3,GR-1nhz-486-2.30-T-4,GR-1nhz-486-2.30-T-5,GR-1p93-dex-2.70-T-1,GR-3bqd-day-2.50-T-1,GR-3bqd-day-2.50-T-2,GR-3cld-gw6-2.84-T-1,GR-3e7c-866-2.15-T-1,GR-T001-1,GR-T001-2,GR-T001-3,GR-T002-1,GR-T002-2,GR-T003-1,GR-T007-1,GR-T008-1,GR-T009-1,GR-T010-1,GR-T011-1,GR-T012-1,GR-T013-1,GR-T014-1,GR-T017-1,IKK2-3rzf-xnm-4.00-n-1,IKK2-N001-6,LXR-1pq6,LXR-1pqc,LXR-1uhl,LXR-1upv,LXR-1upw,LXR-2acl,LXR-3fal,LXR-3fc6,model_DS4,mPGES-1-Hypo_62_01-non-acidic,mPGES-1-X019-2,MR-2a3i-c0r-1.95-Z-1,MR-2aa2-as4-1.95-Z-1,MR-2aa2-as4-1.95-Z-2,MR-2oax-snl-2.29-Z-1,MR-Z001-1,MR-Z001-2,MR-Z002-1,MR-Z002-2,NFkB-DNA-site-N003-1,p38-MAPK-1a9u-sb2-800mod1_h,p38-MAPK-1bl6-sb6-800mod1_h,p38-MAPK-1bmk-sb5-800mod1_ha,p38-MAPK-1ouk+shape,p38-MAPK-1wbvneu+shape,p38-MAPK-2rg6-3cg2+shape,p38-MAPK-3dt1-3ctq+shape,PPARa-1i7g-az2-2.24-x-1,PPARa-1k7l-544-2.50-p-1-s,PPARa-1k7l-544-2.50-p-1,PPARa-1kkq-471-3.00-x-1,PPARa-P007-1,PPARd-1gwx-433-2.50-p-1-s,PPARd-1gwx-433-2.50-p-1,PPARd-1y0s-331-2.65-p-1-s,PPARd-1y0s-331-2.65-p-1,PPARd-1y0s-331-2.65-p-2-s,PPARd-2j14-gni-2.80-p-1-s,PPARg-1fm6-brl-2.10-p-1-s,PPARg-1fm6-brl-2.10-p-1,PPARg-1fm9-570-2.10-x-1,PPARg-1fm9-570-2.10-x-2,PPARg-1i7i-az2-2.35-x-1,PPARg-1k74-544-2.30-p-1-s,PPARg-1knu-ypa-2.50-p-1-s,PPARg-1knu-ypa-2.50-p-2-s,PPARg-1nyx-drf-2.65-p-1-s,PPARg-1nyx-drf-2.65-p-1,PPARg-1nyx-drf-2.65-p-2-s,PPARg-1wm0-plb-2.90-p-1-s,PPARg-1zeo-c01-2.50-p-1-s,PPARg-1zeo-c01-2.50-p-1,PPARg-1zgy-brl-1.80-p-1-s,PPARg-2ath-3ea-2.28-p-1-s,PPARg-2f4b-eha-2.07-p-1-s,PPARg-2fvj-ro0-1.99-p-1-s,PPARg-2g0g-sp0-2.54-p-1-s,PPARg-2g0g-sp0-2.54-p-1,PPARg-2g0h-sp3-2.30-p-1-s,PPARg-2gtk-208-2.10-p-1-s,PPARg-2hfp-nsi-2.00-p-1-s,PPARg-2prg-brl-2.30-p-1-s,PPARg-2prg-brl-2.30-p-1,PPARg-2q59-240-2.20-p-1-s,PPARg-4prg-072-2.90-p-1-s,PPARg-P002-1,PTP1b-1bzj-pic-2.25-d-1,PTP1b-1c84-761-2.35-d-1,PTP1b-1c85-oba-2.72-d-1,PTP1b-1c86-opa-2.30-d-1,PTP1b-1c87-opa-2.10-d-1,PTP1b-1c88-ota-1.80-d-1,PTP1b-1ecv-878-1.95-d-2,PTP1b-1gfy-col-2.13-d-1,PTP1b-2bgd-t1d-2.40-d-1,PTP1b-2cnf-f32-2.20-d-1-s,PTP1b-2cnf-f32-2.20-d-1,PTP1b-2cng-ize-1.90-d-1,PTP1b-2cni-izf-2.00-d-1-s,PTP1b-2cni-izf-2.00-d-1
,1,(+) Linderatin,true,false,false,255 255 255 255,false,59,C25 H30 O4,"C: 0,761, H: 0,077, O: 0,162",394.515,394.214,0,60.7931,1,19.9724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273489,0,0,0.515082,0,0.500672,0.180357,0.712023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,(-) epi-Adunctin E,false,false,false,255 255 255 255,false,,,,,,,92.4338,1,19.5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537568,0,0.774391,0.0235804,0.877246,0,0,0,0,0,0,0,0.386908,0,0,0,0,0,0,0.00139007,0,0,0,0,0.112421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112421,0,0,0,0,0,0,0,0,0,0,0,0.120994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,(-) Linderatin,false,false,false,255 255 255 255,false,,,,,,,64.2946,1,19.7969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535137,0,0.40376,0.0857837,0.606788,0,0,0,0,0,0,0,0.0312236,0,0,0,0,0,0,0.010505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787785,0,0,0,0.00130492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,(-) Methyllinderatin,false,false,false,255 255 255 255,false,,,,,,,65.7269,1,19.9565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323454,0,0.862978,0.173216,0.870181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225183,3.09956e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28383e-005,0,0,0.217801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,(-) Neolinderatin,false,false,false,255 255 255 255,false,,,,,,,79.1654,1,19.2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4829,0,0.735965,0,0.611597,0,0,0,0,0,0.080183,0.080183,0.36078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44179e-010,0,0.0076474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Molecule,false,false,false,255 255 255 255,false,,,,,,,85.9015,1,19.8695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883245,0,0,0,0,0,0,0.407636,0,0.799722,0.0626224,0.922307,0,0,0.293315,0,0,0.00726232,0.00726232,0.34359,0,0,0,0,0,0,0,0,0,0.000676734,0.000532812,0.58112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36705,0,0,0,0,0,0,0,0,0,0,0,0,0.000532812,0.58112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,1000268-43-8,false,false,false,255 255 255 255,false,,,,,,,50.2048,1,19.6968,0,0,0,0,0,0,0,0.0263222,0.000246804,0.250489,0,0,0,0.356345,0,0,0,0,0,0,0,0,0.767891,0,0.346913,0,0,0.723509,0,0.549327,0.410547,0.874194,0,0,0,0,0.193875,0,0,0,0,0,0,0,0,0,0.0271682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401814,0,0,0,0,0,0.131502,0,0.0149131,0.0308695,0.0773604,0,0,0,0,0.00140065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,100634-10-4,false,false,false,255 255 255 255,false,,,,,,,45.8359,1,19.8919,0,0,0,0,0,0,0,0.00548008,0.00667442,0.621089,0,0,0,0,0,0,0,0,0,0,0,0,0.878406,0,0.36182,2.47711e-006,0,0.500636,0,0,0.354033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106124,0,0,0.0704131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,104937-47-5 (R),false,false,false,255 255 255 255,false,,,,,,,65.3556,1,19.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154517,0,0,0.57241,0,0.44622,0.180032,0.734648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,1051926-06-7,false,false,false,255 255 255 255,false,,,,,,,65.7721,1,19.8441,0,0,0,0,0.0155744,0,0,0,0,0.0449605,0,0,0,0,0,0,0,0,0,0,0,0,0.0297788,0,0,0,0,0.763741,0.609649,0,0.497832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217939,0,0,0,0,0,0,0,0,0,0,0,0,0.00945234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
